"chr" "start" "end"
"505" "chr4" 17764261 17764712
"506" "chr4" 17787536 17787871
"507" "chr4" 17810084 17810730
"508" "chr4" 17818620 17819115
"509" "chr4" 17935889 17936296
"510" "chr4" 18023742 18024191
"511" "chr4" 18044314 18044807
"512" "chr4" 18077371 18077808
"513" "chr4" 18368615 18369073
"514" "chr4" 18538089 18538476
"515" "chr4" 18570273 18570647
"516" "chr4" 18595175 18595552
"517" "chr4" 18690940 18691364
"518" "chr4" 18697329 18697780
"519" "chr4" 18817397 18817727
"520" "chr4" 18935844 18936215
"521" "chr4" 19226391 19226881
"522" "chr4" 19310916 19311297
"523" "chr4" 19488039 19488486
"524" "chr4" 19793042 19793468
"525" "chr4" 19852535 19852992
"526" "chr4" 19890173 19890603
"527" "chr4" 19971132 19971580
"528" "chr4" 20077066 20077496
"529" "chr4" 20249712 20250521
"530" "chr4" 20250988 20251414
"531" "chr4" 20301129 20301553
"532" "chr4" 20307561 20308006
"533" "chr4" 20315224 20315672
"534" "chr4" 20396778 20397202
"535" "chr4" 20420442 20420918
"536" "chr4" 20424032 20424466
"537" "chr4" 20425005 20425435
"538" "chr4" 20430047 20430477
"539" "chr4" 20433021 20433453
"540" "chr4" 20492321 20492753
"541" "chr4" 20546265 20546692
"542" "chr4" 20686741 20687190
"543" "chr4" 20761677 20762107
"544" "chr4" 20775020 20775396
"545" "chr4" 21136624 21137036
"546" "chr4" 21448926 21449325
"547" "chr4" 21471044 21471561
"548" "chr4" 21508984 21509493
"549" "chr4" 21513959 21514408
"550" "chr4" 21767429 21767852
"551" "chr4" 21769977 21770403
"552" "chr4" 21790863 21791287
"553" "chr4" 21792036 21792460
"554" "chr4" 21880829 21881273
"555" "chr4" 22131059 22131483
"556" "chr4" 22238694 22239186
"557" "chr4" 22240356 22240786
"558" "chr4" 22358835 22359275
"559" "chr4" 22390876 22391478
"560" "chr4" 22412249 22412878
"561" "chr4" 22436481 22436930
"562" "chr4" 22464817 22465193
"563" "chr4" 22516829 22517216
"564" "chr4" 22608965 22609349
"565" "chr4" 22692296 22692775
"566" "chr4" 22899127 22899551
"567" "chr4" 22963993 22964444
"568" "chr4" 23000973 23001438
"569" "chr4" 23137369 23137796
"570" "chr4" 23335908 23336332
"571" "chr4" 23338912 23339373
"572" "chr4" 23369630 23370074
"573" "chr4" 23457077 23457513
"574" "chr4" 23616090 23616619
"575" "chr4" 23682718 23683154
"576" "chr4" 23719164 23719808
"577" "chr4" 23777314 23777738
"578" "chr4" 23858897 23859358
"579" "chr4" 23883387 23883866
"580" "chr4" 23903829 23904205
"581" "chr4" 23934558 23935000
"582" "chr4" 23935797 23936221
"583" "chr4" 23968331 23968771
"584" "chr4" 24033906 24034368
"585" "chr4" 24197989 24198436
"586" "chr4" 24350693 24351144
"587" "chr4" 24397558 24397982
"588" "chr4" 24421047 24421473
"589" "chr4" 24430494 24430940
"590" "chr4" 24471810 24472227
"591" "chr4" 24472867 24473479
"592" "chr4" 24474580 24475428
"593" "chr4" 24477498 24478238
"594" "chr4" 24490063 24490693
"595" "chr4" 24516401 24516859
"596" "chr4" 24553101 24553531
"597" "chr4" 24688976 24689377
"598" "chr4" 24723627 24724003
"599" "chr4" 24737671 24738095
"600" "chr4" 24795177 24795627
"601" "chr4" 24810950 24811414
"602" "chr4" 24916871 24917301
"603" "chr4" 24972272 24972696
"604" "chr4" 24978187 24978614
"605" "chr4" 24981717 24982323
"606" "chr4" 24986741 24987196
"607" "chr4" 24990298 24990939
"608" "chr4" 25033760 25034194
"609" "chr4" 25047248 25047635
"610" "chr4" 25146455 25146901
"611" "chr4" 25174410 25174933
"612" "chr4" 25182146 25182687
"613" "chr4" 25236337 25236778
"614" "chr4" 25314047 25314530
"615" "chr4" 25368620 25369056
"616" "chr4" 25441530 25442149
"617" "chr4" 25443117 25443505
"618" "chr4" 25532896 25533320
"619" "chr4" 25704545 25704975
"620" "chr4" 25769478 25769902
"621" "chr4" 25793800 25794243
"622" "chr4" 25797685 25798055
"623" "chr4" 25843801 25844178
"624" "chr4" 25858964 25859397
"625" "chr4" 25864946 25865384
"626" "chr4" 25927402 25927786
"627" "chr4" 25940918 25941360
"628" "chr4" 25955248 25955684
"629" "chr4" 25989729 25990101
"630" "chr4" 25995304 25995749
"631" "chr4" 26030292 26030733
"632" "chr4" 26057470 26057894
"633" "chr4" 26062838 26063262
"634" "chr4" 26070810 26071249
"635" "chr4" 26083492 26083960
"636" "chr4" 26129693 26130117
"637" "chr4" 26134466 26134891
"638" "chr4" 26152578 26153012
"639" "chr4" 26163027 26163461
"640" "chr4" 26195166 26195547
"641" "chr4" 26237081 26237509
"642" "chr4" 26321175 26321665
"643" "chr4" 26325362 26325801
"644" "chr4" 26326778 26327219
"645" "chr4" 26331790 26332426
"646" "chr4" 26412312 26412747
"647" "chr4" 26426456 26426886
"648" "chr4" 26459775 26460248
"649" "chr4" 26460771 26461211
"650" "chr4" 26497870 26498294
"651" "chr4" 26585286 26585716
"652" "chr4" 26591306 26591709
"653" "chr4" 26721550 26721974
"654" "chr4" 26789674 26790123
"655" "chr4" 26861846 26862561
"656" "chr4" 27002395 27002881
"657" "chr4" 27005220 27005596
"658" "chr4" 27011997 27012342
"659" "chr4" 27049752 27050566
"660" "chr4" 27086324 27086765
"661" "chr4" 27177970 27178402
"662" "chr4" 27320370 27320808
"663" "chr4" 27358902 27359332
"664" "chr4" 27668543 27668978
"665" "chr4" 27686104 27686534
"666" "chr4" 27693674 27694147
"667" "chr4" 27704656 27705080
"668" "chr4" 27862907 27863337
"669" "chr4" 28075437 28076164
"670" "chr4" 28226591 28227041
"671" "chr4" 28227263 28227669
"672" "chr4" 28359617 28360010
"673" "chr4" 28380043 28380473
"674" "chr4" 28464403 28464789
"675" "chr4" 28688186 28688660
"676" "chr4" 29082865 29083237
"677" "chr4" 29806859 29807283
"678" "chr4" 29972222 29972615
"679" "chr4" 30271463 30271887
"680" "chr4" 30381985 30382434
"681" "chr4" 30716029 30716453
"682" "chr4" 30717649 30718073
"683" "chr4" 30720362 30720768
"684" "chr4" 30723452 30723883
"685" "chr4" 31047298 31047734
"686" "chr4" 31372473 31372902
"687" "chr4" 31675919 31676343
"688" "chr4" 31694048 31694445
"689" "chr4" 31795491 31795928
"690" "chr4" 32044141 32044493
"691" "chr4" 32119340 32119694
"692" "chr4" 32270573 32270957
"693" "chr4" 32418739 32419110
"694" "chr4" 32464530 32464992
"695" "chr4" 32776698 32777081
"696" "chr4" 33062494 33062965
"697" "chr4" 33091426 33091827
"698" "chr4" 33161774 33162149
"699" "chr4" 33388364 33388788
"700" "chr4" 33627333 33627754
"701" "chr4" 33650606 33651030
"702" "chr4" 33724414 33724848
"703" "chr4" 34325298 34325819
"704" "chr4" 34424101 34424505
"705" "chr4" 34722162 34722619
"706" "chr4" 34955004 34955439
"707" "chr4" 35153567 35154096
"708" "chr4" 35409251 35409690
"709" "chr4" 35726770 35727194
"710" "chr4" 35910231 35910655
"711" "chr4" 35935991 35936447
"712" "chr4" 36160808 36161232
"713" "chr4" 36189342 36189771
"714" "chr4" 36236879 36237321
"715" "chr4" 36245702 36246443
"716" "chr4" 36352684 36353125
"717" "chr4" 36401323 36401819
"718" "chr4" 36415863 36416287
"719" "chr4" 36826268 36826692
"720" "chr4" 37070170 37070594
"721" "chr4" 37133894 37134318
"722" "chr4" 37189663 37190105
"723" "chr4" 37244706 37245073
"724" "chr4" 37385257 37385659
"725" "chr4" 37391582 37392025
"726" "chr4" 37436105 37436539
"727" "chr4" 37454530 37455200
"728" "chr4" 37568362 37568786
"729" "chr4" 37604577 37605210
"730" "chr4" 37668353 37668846
"731" "chr4" 37684766 37685186
"732" "chr4" 37782427 37782873
"733" "chr4" 37795151 37795589
"734" "chr4" 37803671 37804085
"735" "chr4" 37804948 37805372
"736" "chr4" 37827111 37827619
"737" "chr4" 37828116 37828697
"738" "chr4" 37884240 37884699
"739" "chr4" 37891980 37892375
"740" "chr4" 37892852 37893217
"741" "chr4" 37972361 37972810
"742" "chr4" 37978600 37978919
"743" "chr4" 37979352 37979776
"744" "chr4" 38036853 38037298
"745" "chr4" 38057093 38057488
"746" "chr4" 38063649 38063995
"747" "chr4" 38070759 38071207
"748" "chr4" 38167637 38168078
"749" "chr4" 38181276 38181637
"750" "chr4" 38185966 38186412
"751" "chr4" 38238669 38239103
"752" "chr4" 38321386 38321848
"753" "chr4" 38602244 38602546
"754" "chr4" 38677154 38677536
"755" "chr4" 38730484 38730915
"756" "chr4" 38732725 38733327
"757" "chr4" 38759564 38760011
"758" "chr4" 38761148 38761541
"759" "chr4" 38784427 38784851
"760" "chr4" 38806294 38806726
"761" "chr4" 38834498 38834943
"762" "chr4" 38858331 38858725
"763" "chr4" 38862445 38862847
"764" "chr4" 38875113 38875574
"765" "chr4" 38895235 38895914
"766" "chr4" 38904260 38904720
"767" "chr4" 38995341 38995765
"768" "chr4" 39001108 39001583
"769" "chr4" 39031935 39032400
"770" "chr4" 39045890 39046282
"771" "chr4" 39063059 39063470
"772" "chr4" 39136879 39137303
"773" "chr4" 39183580 39184008
"774" "chr4" 39256726 39257208
"775" "chr4" 39412094 39412541
"776" "chr4" 39437445 39437930
"777" "chr4" 39448384 39449001
"778" "chr4" 39460978 39461788
"779" "chr4" 39466688 39467144
"780" "chr4" 39470942 39471387
"781" "chr4" 39529375 39529842
"782" "chr4" 39592869 39593331
"783" "chr4" 39660382 39660806
"784" "chr4" 39697304 39697680
"785" "chr4" 39978039 39978426
"786" "chr4" 39979140 39979458
"787" "chr4" 39979478 39980054
"788" "chr4" 40047932 40048369
"789" "chr4" 40058233 40058663
"790" "chr4" 40151478 40151854
"791" "chr4" 40230579 40231013
"792" "chr4" 40285620 40286049
"793" "chr4" 40301972 40302417
"794" "chr4" 40311225 40311626
"795" "chr4" 40319110 40319515
"796" "chr4" 40327439 40327806
"797" "chr4" 40509986 40510410
"798" "chr4" 40552856 40553469
"799" "chr4" 40631551 40632664
"800" "chr4" 40721026 40721454
"801" "chr4" 40738725 40739341
"802" "chr4" 40840748 40841178
"803" "chr4" 40842995 40843599
"804" "chr4" 40845747 40846200
"805" "chr4" 40899594 40899985
"806" "chr4" 40910659 40911064
"807" "chr4" 40918899 40919325
"808" "chr4" 40925526 40925950
"809" "chr4" 40926515 40926931
"810" "chr4" 40929499 40930045
"811" "chr4" 40978238 40978682
"812" "chr4" 40982300 40982744
"813" "chr4" 41046182 41046613
"814" "chr4" 41063598 41063961
"815" "chr4" 41156737 41157224
"816" "chr4" 41179037 41179505
"817" "chr4" 41214627 41215007
"818" "chr4" 41216605 41217198
"819" "chr4" 41218433 41219161
"820" "chr4" 41234411 41234873
"821" "chr4" 41260781 41261212
"822" "chr4" 41283044 41283420
"823" "chr4" 41342394 41342824
"824" "chr4" 41361035 41361537
"825" "chr4" 41646263 41646656
